                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1202,                 1.2274,                 1.2326,                0.97909,                0.98075,                0.99349,                0.80846,                0.73946,                0.44727,                0.93355,              0.0033086,              0.0033086,              0.0033086
                      2,                 1.0029,                0.52198,                 1.1074,                0.96799,                0.97149,                0.98904,                0.84259,                0.62832,                0.59028,                0.91531,              0.0065762,              0.0065762,              0.0065762
                      3,                 1.0453,                0.58923,                 1.1317,                0.91941,                 0.9176,                 0.9601,                0.74787,                0.80388,                 1.0714,                 1.0469,              0.0097778,              0.0097778,              0.0097778
                      4,                 1.0844,                0.61622,                 1.1766,                0.93708,                0.95689,                0.98084,                0.80645,                0.72807,                 0.5394,                0.99375,               0.009703,               0.009703,               0.009703
                      5,                 1.0221,                0.56579,                 1.1544,                0.97298,                0.95571,                0.97896,                0.71808,                 1.0053,                0.52116,                 1.1426,               0.009604,               0.009604,               0.009604
                      6,                 0.9925,                 0.5314,                 1.1391,                0.96316,                0.94937,                0.98131,                0.82925,                0.66289,                0.46614,                0.95514,               0.009505,               0.009505,               0.009505
                      7,                0.96406,                0.50742,                 1.1226,                0.96274,                0.97441,                0.98571,                0.84313,                0.61866,                 0.4149,                 0.9341,               0.009406,               0.009406,               0.009406
                      8,                 0.9454,                0.49721,                 1.1176,                0.97112,                0.98638,                0.99363,                0.86719,                0.57397,                0.35904,                0.91139,               0.009307,               0.009307,               0.009307
                      9,                0.92479,                0.47564,                 1.1084,                0.97495,                0.97845,                0.99317,                 0.8635,                0.57542,                0.41392,                0.91318,               0.009208,               0.009208,               0.009208
                     10,                 0.9012,                0.46627,                  1.101,                0.99019,                0.98723,                0.99419,                 0.8778,                0.54701,                 0.3293,                0.89781,               0.009109,               0.009109,               0.009109
                     11,                0.88164,                  0.448,                 1.0859,                0.99252,                0.99162,                0.99462,                0.87295,                0.54208,                0.31564,                 0.8987,                0.00901,                0.00901,                0.00901
                     12,                0.86553,                0.44519,                 1.0796,                0.99438,                 0.9876,                0.99476,                0.88355,                0.54928,                0.32525,                0.89809,               0.008911,               0.008911,               0.008911
                     13,                 0.8537,                0.43184,                  1.071,                0.97936,                0.98883,                0.99385,                0.88545,                0.51875,                0.30505,                0.88416,               0.008812,               0.008812,               0.008812
                     14,                0.84777,                0.42485,                 1.0711,                0.98958,                0.98883,                0.99391,                0.88622,                0.54183,                0.30334,                0.89366,               0.008713,               0.008713,               0.008713
                     15,                0.83574,                0.42051,                 1.0611,                 0.9889,                0.99531,                0.99477,                0.89122,                0.51495,                0.28816,                0.89034,               0.008614,               0.008614,               0.008614
                     16,                0.81335,                0.40749,                 1.0508,                0.99156,                0.99162,                0.99463,                0.88824,                0.54046,                0.29469,                0.89167,               0.008515,               0.008515,               0.008515
                     17,                0.81524,                0.40902,                 1.0532,                0.99442,                0.99531,                0.99459,                0.89245,                0.50237,                0.27187,                0.87416,               0.008416,               0.008416,               0.008416
                     18,                0.80063,                0.39709,                 1.0471,                 0.9958,                 0.9936,                0.99479,                0.89813,                0.50142,                0.27934,                0.88078,               0.008317,               0.008317,               0.008317
                     19,                0.79122,                0.38791,                 1.0415,                0.99154,                0.99441,                0.99479,                0.89436,                0.50605,                0.27902,                0.87427,               0.008218,               0.008218,               0.008218
