                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.53296,                0.25077,                0.92904,                 0.9958,                      1,                0.99494,                0.91772,                0.43082,                0.20176,                0.84678,             0.00065686,             0.00065686,             0.00065686
                      2,                0.63439,                0.30215,                0.97124,                0.98479,                0.99482,                0.98938,                0.89498,                0.45394,                0.24272,                0.86016,              0.0013104,              0.0013104,              0.0013104
                      3,                0.71564,                0.34937,                 1.0142,                0.97454,                0.97346,                0.99278,                0.88073,                0.52488,                 0.3365,                0.90065,              0.0019508,              0.0019508,              0.0019508
                      4,                 0.7492,                0.37286,                   1.03,                0.99019,                0.98641,                0.99465,                0.88044,                0.52566,                0.37723,                0.88862,              0.0019406,              0.0019406,              0.0019406
                      5,                0.73332,                0.36525,                 1.0236,                0.98607,                0.98885,                0.99473,                0.88734,                0.51985,                0.27915,                0.90576,              0.0019208,              0.0019208,              0.0019208
                      6,                0.75062,                0.36685,                 1.0286,                0.99332,                0.99581,                0.99479,                0.88783,                0.51291,                0.26088,                0.88099,               0.001901,               0.001901,               0.001901
                      7,                0.72429,                0.35745,                 1.0179,                0.98891,                0.98324,                0.99455,                0.89435,                0.49757,                0.27128,                0.88319,              0.0018812,              0.0018812,              0.0018812
                      8,                0.71476,                0.34981,                 1.0098,                0.98318,                0.98883,                0.99371,                0.87184,                 0.5468,                 0.2776,                0.89266,              0.0018614,              0.0018614,              0.0018614
                      9,                0.70128,                0.34321,                 1.0096,                0.99025,                0.99249,                0.99433,                0.90156,                 0.4726,                0.27314,                0.86358,              0.0018416,              0.0018416,              0.0018416
                     10,                0.70631,                0.34463,                 1.0099,                0.99298,                0.98719,                0.99433,                0.89327,                0.51307,                0.26933,                 0.8805,              0.0018218,              0.0018218,              0.0018218
                     11,                0.69411,                0.33642,                 1.0012,                0.99301,                0.99441,                 0.9949,                0.90054,                0.51392,                 0.2517,                0.87263,               0.001802,               0.001802,               0.001802
                     12,                0.69634,                0.33623,                 1.0046,                 0.9907,                0.99441,                0.99486,                0.89444,                 0.4914,                0.25477,                0.86956,              0.0017822,              0.0017822,              0.0017822
                     13,                0.69282,                0.33566,                 1.0049,                 0.9944,                0.99287,                0.99484,                0.91126,                0.47629,                0.23986,                0.86981,              0.0017624,              0.0017624,              0.0017624
                     14,                0.67696,                 0.3271,                0.99716,                0.99547,                0.99302,                 0.9947,                0.90385,                0.48108,                0.24883,                0.86969,              0.0017426,              0.0017426,              0.0017426
                     15,                0.67932,                0.32767,                0.99665,                0.99269,                0.99581,                0.99499,                0.90764,                0.47482,                 0.2342,                0.86666,              0.0017228,              0.0017228,              0.0017228
                     16,                0.67404,                0.32544,                0.99167,                0.99442,                0.99536,                0.99476,                0.90763,                0.47016,                0.23643,                0.86803,               0.001703,               0.001703,               0.001703
