                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1708,                 2.2743,                 1.2158,                      1,                0.59436,                0.98818,                0.80142,                0.65754,                 2.3931,                0.84583,              0.0032778,              0.0032778,              0.0032778
                      2,                 1.0587,                 1.0032,                  1.083,                0.96685,                0.95052,                0.98832,                0.78743,                0.78131,                 1.0735,                0.90931,              0.0065784,              0.0065784,              0.0065784
                      3,                  1.086,                 0.7754,                 1.1107,                0.49632,                0.69181,                 0.5774,                0.36048,                 1.1218,                 3.5154,                 1.2248,               0.009846,               0.009846,               0.009846
                      4,                 1.1212,                0.69781,                 1.1577,                0.80347,                 0.8146,                0.89565,                0.71624,                0.80496,                0.98191,                 1.0561,              0.0098515,              0.0098515,              0.0098515
                      5,                 1.0839,                0.63935,                 1.1498,                0.76769,                0.36034,                0.44579,                0.29541,                 1.1835,                 2.2332,                 1.1575,               0.009802,               0.009802,               0.009802
                      6,                 1.0498,                0.59073,                 1.1451,                0.90679,                0.85382,                0.94246,                0.74119,                0.77524,                0.81378,                 1.0092,              0.0097525,              0.0097525,              0.0097525
                      7,                 1.0295,                0.57192,                 1.1343,                0.93423,                0.91155,                0.97662,                0.79372,                0.68958,                0.59389,                0.96989,               0.009703,               0.009703,               0.009703
                      8,                0.99057,                0.54141,                 1.1234,                 0.9768,                0.98006,                0.99259,                0.84991,                0.63828,                0.44295,                0.93929,              0.0096535,              0.0096535,              0.0096535
                      9,                0.97136,                0.52537,                 1.1196,                0.95566,                0.97765,                0.99058,                0.80306,                0.70947,                0.42805,                0.97422,               0.009604,               0.009604,               0.009604
                     10,                 0.9603,                0.50954,                 1.1152,                0.97655,                 0.9702,                 0.9924,                0.76095,                0.91427,                0.47483,                 1.1048,              0.0095545,              0.0095545,              0.0095545
                     11,                0.93814,                0.49929,                 1.1102,                 0.9841,                   0.98,                0.99134,                0.80019,                0.78061,                0.39468,                 1.0186,               0.009505,               0.009505,               0.009505
                     12,                0.92356,                0.49199,                 1.1063,                0.98214,                0.98603,                0.99318,                0.83447,                0.67813,                 0.4117,                0.97056,              0.0094555,              0.0094555,              0.0094555
                     13,                0.91907,                0.48554,                 1.1044,                 0.9751,                0.98466,                0.99231,                0.86209,                0.57002,                0.36619,                0.91367,               0.009406,               0.009406,               0.009406
                     14,                0.90269,                0.47405,                 1.1003,                0.98709,                0.99534,                0.99399,                0.86774,                0.56944,                0.32584,                0.91205,              0.0093565,              0.0093565,              0.0093565
                     15,                0.88593,                0.45881,                 1.0915,                0.98157,                0.99159,                0.99372,                0.86182,                0.58371,                0.35129,                0.91258,               0.009307,               0.009307,               0.009307
                     16,                0.86378,                0.48754,                 1.0625,                0.98236,                0.98417,                0.99356,                0.85462,                0.60239,                0.36479,                0.91859,              0.0092575,              0.0092575,              0.0092575
                     17,                0.88262,                 0.4533,                 1.0901,                 0.9786,                0.96648,                0.99017,                0.83488,                0.62785,                0.38709,                0.92652,               0.009208,               0.009208,               0.009208
                     18,                0.87341,                0.45166,                 1.0823,                0.97664,                0.98696,                0.99353,                0.87613,                0.56053,                0.35526,                0.91178,              0.0091585,              0.0091585,              0.0091585
                     19,                0.86891,                0.45087,                  1.075,                0.99441,                0.99428,                0.99482,                0.88562,                0.51797,                0.30212,                0.89634,               0.009109,               0.009109,               0.009109
                     20,                0.85686,                0.44248,                 1.0695,                0.99348,                0.99311,                0.99485,                0.86451,                0.57403,                0.33792,                0.91856,              0.0090595,              0.0090595,              0.0090595
                     21,                0.85908,                0.45991,                  1.082,                0.99489,                0.99348,                 0.9947,                0.87837,                0.53913,                0.30278,                0.88492,                0.00901,                0.00901,                0.00901
                     22,                0.84832,                0.42715,                 1.0712,                0.98892,                 0.9969,                  0.994,                0.88115,                0.56178,                0.31693,                0.90703,              0.0089605,              0.0089605,              0.0089605
                     23,                0.83498,                0.42575,                 1.0667,                0.98193,                0.99534,                0.99375,                0.88265,                0.51717,                 0.3105,                0.89252,               0.008911,               0.008911,               0.008911
                     24,                0.83294,                0.42434,                 1.0564,                0.99344,                0.98693,                0.99476,                0.87075,                0.55887,                0.31655,                0.90822,              0.0088615,              0.0088615,              0.0088615
                     25,                0.83908,                0.42126,                 1.0651,                0.99058,                0.99348,                0.99475,                0.87889,                0.52846,                0.29259,                0.89457,               0.008812,               0.008812,               0.008812
                     26,                0.82702,                0.41522,                 1.0613,                0.98614,                 0.9935,                0.99456,                0.88534,                0.52271,                 0.2975,                0.89337,              0.0087625,              0.0087625,              0.0087625
                     27,                0.83019,                0.40947,                 1.0649,                0.99251,                0.99628,                0.99441,                 0.8767,                0.56058,                0.29922,                0.90552,               0.008713,               0.008713,               0.008713
                     28,                0.83205,                0.41661,                 1.0721,                 0.9934,                0.99441,                0.99436,                 0.8814,                0.51497,                0.28483,                0.89113,              0.0086635,              0.0086635,              0.0086635
                     29,                0.82241,                0.41387,                 1.0589,                0.98961,                0.99721,                0.99398,                0.88088,                0.52915,                0.29903,                 0.8938,               0.008614,               0.008614,               0.008614
                     30,                0.81639,                0.40213,                  1.058,                0.99312,                0.99534,                0.99491,                 0.8967,                0.48861,                0.27878,                0.87579,              0.0085645,              0.0085645,              0.0085645
                     31,                0.80747,                0.40915,                 1.0492,                0.99691,                0.99721,                0.99492,                0.88468,                0.50302,                0.28345,                0.88382,               0.008515,               0.008515,               0.008515
                     32,                0.80656,                0.40496,                 1.0487,                0.99524,                0.99721,                0.99489,                0.88895,                 0.5077,                0.27416,                0.87902,              0.0084655,              0.0084655,              0.0084655
                     33,                0.80494,                0.40263,                 1.0448,                  0.998,                0.99534,                  0.995,                0.89384,                0.50895,                0.26764,                0.88213,               0.008416,               0.008416,               0.008416
                     34,                0.80058,                0.39482,                 1.0506,                 0.9936,                0.99534,                0.99497,                0.89687,                0.48333,                0.26524,                 0.8731,              0.0083665,              0.0083665,              0.0083665
                     35,                  0.794,                0.39575,                 1.0457,                0.99535,                0.99624,                0.99477,                0.90488,                0.49279,                0.25877,                0.87134,               0.008317,               0.008317,               0.008317
                     36,                0.79339,                0.39441,                 1.0573,                 0.9972,                0.99438,                  0.995,                  0.899,                0.49588,                0.26739,                0.87935,              0.0082675,              0.0082675,              0.0082675
