                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.3078,                 8.2213,                 2.5771,                0.67606,                0.12048,                0.47113,                0.38185,                 1.2975,                 9.0256,                 1.7958,              0.0032778,              0.0032778,              0.0032778
                      2,                 2.2047,                 2.8695,                 2.3074,                0.74062,                0.70484,                0.81424,                0.47204,                 2.6033,                 3.2627,                 2.3759,              0.0065784,              0.0065784,              0.0065784
                      3,                 2.2953,                 1.8158,                 2.3473,                0.70471,                0.26443,                0.44257,                0.28147,                 1.9077,                 24.687,                 2.3609,               0.009846,               0.009846,               0.009846
                      4,                 2.4165,                 1.5335,                 2.4516,                0.60748,                 0.4581,                0.44729,                0.13365,                  4.907,                 17.438,                 6.2021,              0.0098515,              0.0098515,              0.0098515
                      5,                 2.3502,                 1.3363,                 2.4279,                0.77732,                0.69646,                0.78812,                0.49471,                 2.2527,                 3.7296,                 2.6269,               0.009802,               0.009802,               0.009802
                      6,                  2.226,                  1.198,                 2.3716,                0.92119,                0.82775,                0.93435,                0.73564,                 1.6227,                 1.3221,                 2.1108,              0.0097525,              0.0097525,              0.0097525
                      7,                 2.1669,                 1.1216,                 2.3349,                0.91282,                 0.8892,                0.95472,                0.72041,                  1.743,                 1.1723,                  2.136,               0.009703,               0.009703,               0.009703
                      8,                 2.0791,                 1.0637,                 2.3078,                0.96433,                0.85581,                0.95051,                0.77913,                 1.4104,                 1.5235,                 1.9938,              0.0096535,              0.0096535,              0.0096535
                      9,                 2.0401,                 1.0146,                 2.2846,                0.91256,                0.93284,                0.97782,                0.78665,                 1.5586,                  0.869,                 2.0673,               0.009604,               0.009604,               0.009604
                     10,                  2.008,                0.98047,                 2.2758,                0.94329,                0.94413,                0.98374,                0.69276,                 2.2033,                0.96251,                 2.4741,              0.0095545,              0.0095545,              0.0095545
                     11,                 1.9623,                0.96065,                 2.2553,                0.94451,                0.87158,                0.96234,                0.78829,                 1.3721,                 1.0975,                 1.9501,               0.009505,               0.009505,               0.009505
                     12,                 1.9412,                 0.9448,                 2.2425,                0.94223,                0.94157,                0.98505,                0.81657,                 1.3608,                 0.7649,                 1.9702,              0.0094555,              0.0094555,              0.0094555
                     13,                 1.9264,                0.91563,                 2.2543,                 0.9521,                0.96462,                0.98879,                0.83465,                 1.3083,                0.64493,                 1.9257,               0.009406,               0.009406,               0.009406
                     14,                  1.878,                0.89067,                 2.2221,                0.96394,                0.96369,                0.99042,                0.85448,                 1.2335,                 0.6049,                 1.8684,              0.0093565,              0.0093565,              0.0093565
                     15,                 1.8416,                0.87008,                 2.1994,                0.97229,                0.88201,                0.97637,                0.85068,                 1.1706,                0.74079,                 1.8531,               0.009307,               0.009307,               0.009307
                     16,                 1.8077,                0.98486,                 2.1617,                0.95311,                0.94638,                 0.9856,                0.82738,                  1.281,                0.64525,                 1.8799,              0.0092575,              0.0092575,              0.0092575
